,CVE_DOC,FECHA_DOC,NOMBRE_VENDEDOR,NOMBRE_CLIENTE,CANT,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
96,F37219,2022-01-28,LETICIA RAMIREZ HERNANDEZ,SINUHE RAMIREZ GUERRERO,3,TUS00064,"TUB INOX 1/2""Øx500mm LONG ""U"" 2000W 220V",1189.0,0.0,160.03,3567.0,480.08,1028.97,3086.92
97,F37221,2022-01-28,LETICIA RAMIREZ HERNANDEZ,OPERADORA Y ADMINISTRADORA DE HOSPITALES SAN JOSE,3,TUA00078,"TUB INOX 5/16""Øx320mm 4000W 230V TAPON",1435.0,0.0,369.59,4305.0,1108.78,1065.41,3196.22
101,F37226,2022-01-31,DIEGO ARMANDO LEON DURAN,SIKA MEXICANA,2,PT00082,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,0.0,1214.3,5251.0,2428.6,1411.2,2822.4
102,F37230,2022-01-31,ALFREDO CANELA,DEACERO,2,54020219,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",2464.2,1041.08,1041.08,4928.4,2082.15,1423.12,2846.25
103,F37231,2022-01-31,ALFREDO CANELA,DEACERO,2,93980461,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",2068.5,1298.68,1298.68,4137.0,2597.36,769.82,1539.64
104,F37233,2022-01-31,LETICIA RAMIREZ HERNANDEZ,METROLOGIA DEL BAJIO,1,PJ14F10B0600,"TER J 1/4""ØX4"" CON 1/2""-1/2""NPT BLOCK-CA",925.6,0.0,387.87,925.6,387.87,537.73,537.73
105,F37235,2022-01-31,LETICIA RAMIREZ HERNANDEZ,LIDIA BARRIOS HERNANDEZ,1,TUE00057,"TUB INOX 7/16""Øx280mm U 9000W 240V PLACA",1517.63,435.3,435.3,1517.63,435.3,1082.33,1082.33
107,F37237,2022-01-31,ALFREDO CANELA,MARIA CONCEPCION MALAGON LEON,1,BT00005,FAB BOBINA 8020 2000W 220V BASTIDOR NVO,2629.5,167.3,167.3,2629.5,167.3,2462.2,2462.2
109,F37239,2022-01-31,ATENCION A CLIENTES,JOSE JOEL AVECILLA MARTINEZ,2,TUE00332,"TUB INOX 1/2""ØX2018MM 4000W 250V ESP/BUS",1195.84,0.0,336.57,2391.69,673.13,859.28,1718.56
110,F37240,2022-01-31,ALFREDO CANELA,ALFREDO MACIAS PEÑA,1,TUA00124,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1572.45,0.0,647.84,1572.45,647.84,924.61,924.61
111,F37240,2022-01-31,ALFREDO CANELA,ALFREDO MACIAS PEÑA,4,TUE00063,"TUB INOX 5/16""ØX362CM 5000W220 V T/CABLE",2375.5,0.0,436.05,9502.0,1744.19,1939.45,7757.81
112,F37240,2022-01-31,ALFREDO CANELA,ALFREDO MACIAS PEÑA,2,TUE00129,TUE Ø 8 MM X 303 APROX 5000 W 220 V,2080.85,0.0,449.35,4161.7,898.7,1631.5,3263.0
113,F37241,2022-01-31,LETICIA RAMIREZ HERNANDEZ,SERVICIOS Y COMPONENTES ESPECIALIZADOS ERSOS,1,TUE00008,"TUBU"" 5/16""Øx21.5cm 2700W220V 3PZ COBRE""",2118.0,0.0,406.61,2118.0,406.61,1711.39,1711.39
114,F37242,2022-01-31,ALFREDO CANELA,RAUL PULIDO AMBRIZ,1,TUA00401,"TUB INOX 7/16""ØX26CM 2700W 240V ""M"" BUSH",1250.0,281.94,281.94,1250.0,281.94,968.06,968.06
118,F37255,2022-02-01,DIEGO ARMANDO LEON DURAN,INMOBILIARIA MONTAÑA,1,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",1000.0,0.0,226.23,1000.0,226.23,773.77,773.77
122,F37260,2022-02-02,LETICIA RAMIREZ HERNANDEZ,SUPER SACOS SAN LUIS,2,CBS00002,"CAR BAJA INOX 5/8x97CMS 2400W 440V CABL""",3892.24,492.92,492.92,3892.24,492.92,3399.32,3399.32
124,F37262,2022-02-02,LETICIA RAMIREZ HERNANDEZ,JOSE LUIS PIÑA MEJIA,1,TUA00407,"TUB INOX 5/16""ØX25.5CM 2500W110V CLIP PL",871.5,174.76,174.76,871.5,174.76,696.74,696.74
126,F37270,2022-02-02,DIEGO ARMANDO LEON DURAN,MEXICANA DE INGENIERIA Y MAQUINARIA,2,65014-38,CAE 12.5MMØx312.42MMLONG 90° 1200W 220V,1100.0,246.94,246.94,2200.0,493.89,853.06,1706.11
129,F37277,2022-02-03,DIEGO ARMANDO LEON DURAN,OPERADORA TURISTICA GOMARTI,4,TUA00412,"TUB INOX 5/16""ØX240MM 1000W 120V BUS5/8",988.25,0.0,146.88,3953.0,587.54,841.37,3365.46
130,F37277,2022-02-03,DIEGO ARMANDO LEON DURAN,OPERADORA TURISTICA GOMARTI,4,TUA00414,"TUB INOX 7/16""ØX26CM 1100W127V BUSH",828.69,0.0,186.95,3314.76,747.79,641.74,2566.97
132,F37279,2022-02-03,LETICIA RAMIREZ HERNANDEZ,BEATRIZ MARINA HERRERA GUTIERREZ ESCALADA,1,TUE00329,"TUB INOX 1/4""ØX16CM 700W127V ESPIRAL TAP",1125.0,130.78,130.78,1125.0,130.78,994.22,994.22
133,F37279,2022-02-03,LETICIA RAMIREZ HERNANDEZ,BEATRIZ MARINA HERRERA GUTIERREZ ESCALADA,1,TUE00330,"TUB INOX 1/4""ØX16CM 700W127V ESPIRAL PLA",1125.0,134.36,134.36,1125.0,134.36,990.64,990.64
134,F37282,2022-02-04,LETICIA RAMIREZ HERNANDEZ,J. FRANCISCO FERRUZCA HERNANDEZ,15,TUA00143,"TUB 7/16""X46CMS U 1500W 480V. ESPECIAL",913.4,189.47,189.47,13701.02,2842.01,723.93,10859.02
136,F37289,2022-02-04,LETICIA RAMIREZ HERNANDEZ,PÚBLICO EN GENERAL,1,TUA00405,"TUB COBRE 5/16""ØX225MM 2400W115V TAP",2665.3,395.14,395.14,2665.3,395.14,2270.16,2270.16
137,F37289,2022-02-04,LETICIA RAMIREZ HERNANDEZ,PÚBLICO EN GENERAL,1,TUA00406,"TUB INOX 5/16""ØX20CM 2000W 220V ""J"" TAP",1579.6,141.65,141.65,1579.6,141.65,1437.95,1437.95
138,F37299,2022-02-08,ALFREDO CANELA,CARCOUSTICS INDUSTRIAL DE MEXICO,12,CBS00001,"CBS 90° 3/4""Øx39.9/16 2600W400V EXT. 55""",1800.18,526.27,526.27,21602.16,6315.25,1273.91,15286.91
141,F37301,2022-02-08,LETICIA RAMIREZ HERNANDEZ,PHI AUTOMATION,3,TUA00408,"TUB INOX 5/8""ØX150CM 2590W 256V REC/ALET",1877.65,533.27,533.27,5632.95,1599.82,1344.38,4033.13
142,F37302,2022-02-08,LETICIA RAMIREZ HERNANDEZ,PHI AUTOMATION,7,P231B1AF0500,"PT-100 3/16""ØX 1 1/2"" CON 3/8""-A1/2""NPT",972.0,319.99,319.99,6804.0,2239.95,652.01,4564.05
143,F37303,2022-02-08,ALFREDO CANELA,ALFREDO MACIAS PEÑA,2,TUE00334,"TUB INOX 5/16""ØX307MM  2100W220V ""M"" CUA",1899.18,0.0,164.55,3798.36,329.11,1734.63,3469.25
144,F37311,2022-02-09,LETICIA RAMIREZ HERNANDEZ,MARIA ARACELI HERNANDEZ OCAMPO,2,TUA00400,"TUB INOX 7/16""ØX210MM 800W127V ""U""  BUSH",1022.5,168.4,168.4,2045.0,336.79,854.1,1708.21
145,F37318,2022-02-09,ALFREDO CANELA,PROFFINOX,3,TUA00415,"TUB INOX 7/16""ØX58CM 8000W240V ""U"" CLAMP",3859.99,0.0,418.59,11579.97,1255.77,3441.4,10324.2
146,F37319,2022-02-09,ALFREDO CANELA,LBQ FOUNDRY,1,TEA00004,"TEA K"" 18mmØx540mm CABEZA MARINA""",1054.0,0.0,665.36,1054.0,665.36,388.64,388.64
147,F37320,2022-02-09,ALFREDO CANELA,CHAMPIÑONES SAN MIGUEL,4,TUA00082,"TUB ""U"" 8mmØx650mm 10kW 440V 2pz TAPON",2399.01,0.0,569.1,9596.04,2276.4,1829.91,7319.64
148,F37321,2022-02-09,LETICIA RAMIREZ HERNANDEZ,PÚBLICO EN GENERAL,3,TUE00098,"TUB INOX 1/4""Øx185MM 900W 120V ""M"" T-90°",1143.25,78.83,78.83,3429.75,236.48,1064.42,3193.27
150,F37331,2022-02-10,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,3,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,0.0,791.1,9159.75,2373.3,2262.15,6786.45
152,F37336,2022-02-10,LETICIA RAMIREZ HERNANDEZ,PÚBLICO EN GENERAL,2,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",813.1,222.0,222.0,1626.21,444.0,591.1,1182.21
154,F37339,2022-02-11,LETICIA RAMIREZ HERNANDEZ,HOT MELT SISTEMAS Y SERVICIOS SANCHEZ,10,CBS00099,"CBS INOX 5/8""ØX13"" 1700W 240V EXT.30CM",866.7,153.97,153.97,8667.0,1539.68,712.73,7127.32
157,F37349,2022-02-11,DIEGO ARMANDO LEON DURAN,MICRO SOLUCIONES Y CONECTIVIDAD,2,CBS00100,"CBS INOX 3/8""ØX90CM 1300W 240V EXT.1MT",1046.11,0.0,297.59,2092.22,595.19,748.52,1497.03
159,F37355,2022-02-14,ALFREDO CANELA,APEX TOOL GROUP MANUFACTURING MEXICO,3,BN00055,BN INOX 111MMØX85MM 1000W127V CIERRE STD,1991.0,182.75,182.75,5973.0,548.24,1808.25,5424.76
160,F37357,2022-02-14,DIEGO ARMANDO LEON DURAN,ESPECIAS ARIES,4,CS38M1050A01,"CAS INOX 3/8""ØX7"" 500W 127V EXT1MT",759.17,0.0,106.18,3036.68,424.72,652.99,2611.96
161,F37357,2022-02-14,DIEGO ARMANDO LEON DURAN,ESPECIAS ARIES,4,CS38N1050A01,"CAS INOX 3/8""ØX8"" 500W 127V EXT1MT",788.05,0.0,150.48,3152.2,601.92,637.57,2550.28
163,F37358,2022-02-14,LETICIA RAMIREZ HERNANDEZ,DESECHOS INDUSTRIALES CONIN,1,BN00232,BAN INOX 197MMØX152MM 3500W 440V T/TORNI,945.0,299.62,299.62,945.0,299.62,645.38,645.38
165,F37358,2022-02-14,LETICIA RAMIREZ HERNANDEZ,DESECHOS INDUSTRIALES CONIN,2,BP00247,BAN P COMUN 219MMX275MM 1800W440V 4B/TOR,994.64,155.39,155.39,1989.28,310.77,839.25,1678.51
167,F37359,2022-02-14,LETICIA RAMIREZ HERNANDEZ,POLIETILENOS UNIVERSALES Y DERIVADOS,1,BN00115,BAN A/COMUN 263mmØx115mm 2800W 220V STD,1452.18,150.74,150.74,1452.18,150.74,1301.44,1301.44
171,F37363,2022-02-14,ALFREDO CANELA,START SERVICE,1,RP00177,REPARACION DE PLANCHA 4500W 240V ESP,2259.43,0.0,143.11,2259.43,143.11,2116.32,2116.32
173,F37370,2022-02-15,LETICIA RAMIREZ HERNANDEZ,KATIA YADIRA ARGOTE VAZQUEZ,1,TUE00148,"TUB INOX 5/16""Øx335mm. U 7600W 230V PLAQ",2174.6,0.0,337.19,2174.6,337.19,1837.41,1837.41
174,F37372,2022-02-15,LETICIA RAMIREZ HERNANDEZ,PROCOBI PRODUCTOS DE CONTROL BIOLOGICO Y NUTRICION VEGETAL,1,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",919.0,0.0,226.23,919.0,226.23,692.77,692.77
177,F37378,2022-02-16,DIEGO ARMANDO LEON DURAN,SIKA MEXICANA,2,PT00082,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,1214.3,1214.3,5251.0,2428.6,1411.2,2822.4
179,F37386,2022-02-17,DIEGO ARMANDO LEON DURAN,OSCAR ENRIQUE CABRERA VERA,2,TUE00081,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",2278.45,431.83,431.83,4556.9,863.66,1846.62,3693.24
181,F37394,2022-02-17,LETICIA RAMIREZ HERNANDEZ,JOSE LUIS PIÑA MEJIA,1,TUA00280,"TUB INOX 1/4""Øx1500mm 3000W 230V BUSHING",1136.53,175.18,175.18,1136.53,175.18,961.35,961.35
182,F37395,2022-02-17,DIEGO ARMANDO LEON DURAN,PÚBLICO EN GENERAL,1,RP00178,REPARACION DE HORNO 780W 120V MAR-VULCAN,862.07,12.4,12.4,862.07,12.4,849.67,849.67
183,F37401,2022-02-17,LETICIA RAMIREZ HERNANDEZ,PEREZ PEDRAZA LAURA LISBET,3,BO00053,BOB DSD CAL.6 86MMØX713MM U 48KW440V GA,2525.0,0.0,1782.0,7575.0,5346.0,743.0,2229.0
185,F37409,2022-02-18,DIEGO ARMANDO LEON DURAN,TECHMASTER DE MEXICO,11,TEA00092,"TEA K 1/2""ØX53CM CO/1/2""NPT INOX C/MARIN",1499.3,672.74,672.74,16492.26,7400.14,826.56,9092.12
186,F37409,2022-02-18,DIEGO ARMANDO LEON DURAN,TECHMASTER DE MEXICO,6,TEA00093,"TEA K 1/2""ØX130CM CO/1/2""NPT INOX C/MARI",2349.48,1190.42,1190.42,14096.87,7142.54,1159.06,6954.33
188,F37415,2022-02-18,LETICIA RAMIREZ HERNANDEZ,ANA BARBARA CRUZ PALACIOS,2,TT00007,"TER T 3/16""ØX51CMX6CM EXT2MT CON-1/8 90°",813.05,0.0,189.75,1626.1,379.5,623.3,1246.6
189,F37415,2022-02-18,LETICIA RAMIREZ HERNANDEZ,ANA BARBARA CRUZ PALACIOS,2,TT00008,"TER T 3/16""ØX127MMX6CM EXT5MT CON-1/8 90",1048.0,0.0,346.74,2096.0,693.49,701.26,1402.51
191,F37418,2022-02-18,ALFREDO CANELA,CLAVOS NACIONALES C.N,3,TEA00023,"TEA K 1/2""Øx1800mm CON1/2-1/2 C/MARINA",8500.0,0.0,3061.83,12750.0,4592.74,5438.17,8157.26
193,F37425,2022-02-21,LETICIA RAMIREZ HERNANDEZ,JUAN CARLOS CONTRERAS HERNANDEZ,1,TU5/16X870J127V,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",813.0,227.18,227.18,813.0,227.18,585.82,585.82
194,F37426,2022-02-21,ALFREDO CANELA,HORMESA DE MEXICO,1,TEA00096,"TEA K 1/2""ØX18""X24"" ESCUADRA BLOCK/CMARI",2068.5,0.0,773.91,2068.5,773.91,1294.59,1294.59
195,F37429,2022-02-21,ALFREDO CANELA,BACHOCO,6,TUA00025,"TUB ALETADA 5/16""ØX32CM 750W 220 V",1518.0,304.25,304.25,9108.0,1825.52,1213.75,7282.48
198,F37434,2022-02-22,LETICIA RAMIREZ HERNANDEZ,DIANA OLIVIA ESPINO NAVARRETE,1,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",813.1,222.0,222.0,813.1,222.0,591.1,591.1
200,F37436,2022-02-22,LETICIA RAMIREZ HERNANDEZ,ANA BARBARA CRUZ PALACIOS,2,TUA00403,"TUB INOX 3/8""ØX33.5CM 6000W480V ""U"" PLAC",1520.0,378.69,378.69,3040.0,757.39,1141.31,2282.61
204,F37443,2022-02-23,DIEGO ARMANDO LEON DURAN,NHK SPRING MEXICO,36,TUE00146,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,0.0,254.34,52200.0,9156.17,1195.66,43043.83
205,F37444,2022-02-23,DIEGO ARMANDO LEON DURAN,MFSEIN,2,BE00011,"BAN P INOX 1 1/2""X12"" 240V W-MAX",780.25,37.66,37.66,1560.5,75.32,742.59,1485.18
206,F37444,2022-02-23,DIEGO ARMANDO LEON DURAN,MFSEIN,2,BE00012,"BAN P INOX 1 1/2""X14"" 240V W-MAX",799.12,44.54,44.54,1598.24,89.08,754.58,1509.16
207,F37444,2022-02-23,DIEGO ARMANDO LEON DURAN,MFSEIN,2,BE00013,"BAN P INOX 1 1/2""X16"" 240V W-MAX",821.89,48.09,48.09,1643.78,96.18,773.8,1547.6
